id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4,Give me a recipe for air fryer salmon and asparagus
5,Scale this recipe up for 1.92 pounds
6,what can i add to a red wine glaze to make it sweeter? (not just sugar)
7,"I'm cooking sous vide short ribs as the main dish for date night tonight with my girlfriend. What would be some good side dishes for it? Want something healthy, nourishing and restorative. It's also hot right now so not something super heavy"
8,give me a gluten and diary free recipe for thanksgiving stuffing
9,suggest some low carb + GF sides for thanksgiving
10,Help me brainstorm a dish to take to this potluck. Something simple to make (30-45 min max) that's dairy and gluten free
11,give me a GF and keto / low carb dessert recipe for lemon meringue pie
12,"Help me brainstorm some easy to make dishes for a group dinner of 10 people. Gluten free, dairy free (or light). If there is a way to make a dish that a vegetarian person can easily have (where the meat can be on side and mixed in by those who eat meat) that is ideal. Bias to grilling meats and large batch cooking that I can complete in 1 hour or less."
13,I want a main and two sides
14,Let's do grilled chicken as the main dish. Then create 2 side options and a salad
15,help me make a quick dinner with protein and veggies